Motor torpedo boat
bronze sculpture;sculpture en bronze
brown;marron
brush;brosse
brutalist architecture;architecture brutaliste
building;bâtiment
bulk carrier;vraquier (bateau)
bull;taureau
bulldozer;bulldozer
bullet;balle
bullfighting;corrida
bullring;arène
bunker;bunker
bus;autobus
businessperson;homme d'affaires
button;bouton
byzantine architecture;architecture byzantine
cadetblue;bleu cadet
cage;cage
calipers;étriers
caliph;calife
calligraphy;calligraphie
calm;calme (météo)
camel;chameau
camel like mammal;chameau
camera accessory;accessoire de caméra
camera lens;objectif de caméra
camouflage;camouflage
camp;camp
campamento;camp
canal;canal
candle holder;bougeoir
cannon;canon
cantilever bridge;pont cantilever
canyon;canyon
cap;casquette
car;voiture
car float;barge de transport
caravan;caravane
caravanserai;caravansérail
caravel;caravelle
carburetor;carburateur
cargo ship;cargo
carillon;carillon
carnivoran;carnivore
carrack;caraque (navire)
carriage;chariot
cart;chariot
cartoon;dessin animé
carving;sculpture
cash;espèces
castle;Château
cat;chat
cat like mammal;chat
cathedral;cathédrale
cattle like mammal;bétail
cave;grotte
ceiling;plafond
ceiling fixture;plafonnier
celesta;célesta (instrument de musique)
cement;ciment
cemetery;cimetière
ceramic;céramique
ceremony;cérémonie
chain;chaîne
chain link fencing;clôtures grillagée
chair;chaise
chalk;craie
championship;championnat
channel;canal
chapel;chapelle
charcoal;charbon
chariot;char
chariot racing;course de chars
chassis;châssis
château;château
cheek;joue
cheering;applaudissement
chef;chef
chest;poitrine
chicken;poulet
chief cook;chef cuisinier
child;enfant
chimney;cheminée
chin;menton
chinese architecture;architecture chinoise
christmas;Noël
christmas decoration;décoration de Noël
christmas ornament;décoration de Noël
christmas tree;sapin de Noël
church;église
church bell;cloche d'église
churchill tank;tank Churchill
circle;cercle
circuit component;composant de circuit
city;ville
cityscape;paysage urbain
clamp;pince
class;classe
classic;classique
classic car;voiture de collection
classical architecture;architecture classique
classical sculpture;sculpture classique
classroom;salle de cours
claw;griffe
cliff;falaise
climbing;escalade
clipper;tondeuse
clock;horloge
clock tower;tour de l'horloge
close up;gros plan
clothes hanger;cintre
clothing;vêtements
cloud;nuage
clutch;embrayage
clutch part;pièces d'embrayage
coachman;cocher
coast;côte
coastal and oceanic landforms;reliefs côtiers et océaniques
coastal defence ship;navire de défense côtière
coat;manteau
coffee table;table basse
coin;pièce de monnaie
cold weapon;arme blanche
collage;collage
collectable;collection
collection;collection
colonel;colonel
column;colonne
combat vehicle;véhicule de combat
comic book;bande dessinée
comics;bande dessinée
comics artist;dessinateur de bande dessinée
commemorative plaque;plaque commémorative
commercial vehicle;véhicule commercial
commodity;marchandise
communication;communication
community;communauté
compact car;voiture compacte
compass;boussole
competition;compétition
competition event;compétition
computed tomography;tomodensitométrie
computer disk;disque d'ordinateur
computer wallpaper;fond d'écran d'ordinateur
concert;concert
concrete;béton
concrete bridge;pont en béton
condominium;condominium
condottiere;condottiere
cone;cône
conifer;conifère
construction;construction
construction equipment;équipement de construction
construction worker;ouvrier du bâtiment
conversation;conversation
cook;cuisinier
cooktop;table de cuisson
cookware accessory;accessoire de batterie de cuisine
cookware and bakeware;batterie de cuisine
cool;cool
coolcopper;artisanat du cuivre
cope;chape
copper;cuivre
cornet;cornet
cornflowerblue;bleuet
correspondencia;correspondance
cossacks;cosaques
costume;costume
costume design;conception de costumes
costume hat;chapeau de costume
cottage;chalet
couch;canapé
courrier;courrier
cow goat family;famille de chèvres
cowboy;cow-boy
cowboy hat;chapeau de cowboy
coxswain;barreur
craft;artisanat
crane;grue
crannog;crannog
creative arts;arts créatifs
crest;crête
crew;équipage
crewman;membre d'équipage
cricket bat;batte de cricket
crop;récolte
cross;croix
cross stitch;point de croix
crowd;foule
crucifix;crucifix
cruise ship;bateau de croisière
cruiser;croiseur
crypt;crypte
cuisine;cuisine
cumulus;cumulus
cup;tasse
cupboard;placard
currency;devise
current transformer;transformateur de courant
curtain;rideau
cut flowers;fleurs coupées
cutlery;coutellerie
cycle sport;sport cycliste
cycling;cyclisme
cyclo cross;cyclo cross
cyclo cross bicycle;vélo de cross
cylinder;cylindre
czechoslovakian wolfdog;chien loup tchécoslovaque
dagger;poignard
dairy;produit laitier
dairy cow;vache laitière
dam;barrage
dancer;danseur
dances;danses
darkbrown;marron foncé
darkgray;gris foncé
darkgreen;vert foncé
darkgreencopper;vert cuivre foncé
darkness;ténèbres
darkolivegreen;vert olive foncé
darkred;rouge foncé
darkslategrey;gris ardoise foncé
darktan;brun foncé
darkwood;bois foncé
date palm;palmier dattier
day;journée
daylighting;lumière du jour
daytime;jour
deacon;diacre
decor;décor
deer;cerf
delivery truck;camion de livraison
demolition;démolition
demon;démon
desert;désert
design;conception
desk;bureau
destroyer;destroyer
destroyer escort;destroyer d'escorte
devil's bridge;pont du diable
dhow;boutre
diagram;diagramme
diatonic button accordion;accordéon diatonique
digital piano;piano numérique
dimgrey;gris foncé
dining room;salle à manger
dinosaur;dinosaure
diode;diode
diploma;diplôme
diplomat;diplomate
disaster;catastrophe
disciple;disciple
dishware;vaisselle
display case;vitrine
display window;fenêtre d'affichage
distilled beverage;boisson distillée
distribution;distribution
ditch;fossé
dock;dock
document;document
dog;chien
dog breed;race de chien
dog breed group;races de chien
dog crossbreeds;croisement de race de chien
dog like mammal;chien
doily;napperon
dome;dôme
donkey;âne
door;porte
door handle;poignée de porte
douglas c 47 skytrain;douglas c 47 skytrain (DC3)
downtown;centre ville
drawing;dessin
dreadnought;dreadnought (cuirassé)
dress;robe
dressmaker;couturière
drink;boisson
drinkware;boisson
dromon;dromon (navire)
drought;sécheresse
drum;tambour
drummer;batteur
drums;tambours
duck;canard
ducks geese and swans;canards oies et cygnes (anatidés)
dust;poussière
dustyrose;vieux rose
eagle;aigle
ear;oreille
earrings;boucles d'oreilles
earth;Terre
earthquake;tremblement de terre
easel;chevalet
east indiaman;indiaman (navire)
indiaman;indiaman (navire)
ecoregion;écorégion
ecosystem;écosystème
education;éducation
egyptian temple;temple égyptien
elder;aîné
electric locomotive;locomotive électrique
electrical network;réseau électrique
electrical supply;alimentation électrique
electricity;électricité
electronic component;composant électronique
electronic device;appareil électronique
electronic instrument;instrument électronique
electronics;électronique
electronics accessory;accessoire électronique
elephant;éléphant
elephants and mammoths;éléphants et mammouths
elevation;élévation
elk;wapiti
emblem;emblème
embroidery;broderie
emotion;émotion
emu;émeu
end table;fin de table (meuble)
endurance sports;sports d'endurance
engine;moteur
engineering;ingénierie
english riding;équitation anglaise
entertainment;divertissement
equestrian;équestre
equestrian helmet;casque équestre
equestrian sport;sport équestre
equestrianism;équitation
erg;erg
erotic literature;littérature érotique
escarpment;escarpement
estate;biens
evening;soir
event;événement
evergreen;feuilles persistantes
exhibition;exposition
explosion;explosion
extinction;extinction
extradosed bridge;pont extradosé
eye;oeil
eyebrow;sourcil
eyelash;cil
eyewear;lunettes
facade;façade
face;visage
facial expression;expression du visage
facial hair;pilosité du visage
factory;usine
fairy;fée
falcon;faucon
family;famille
family car;voiture familiale
farm;ferme
farmhouse;maison de ferme
farmworker;fermier
farrier;maréchal-ferrant
fashion;mode
fashion accessory;accessoire de mode
fashion design;dessin de mode
fashion illustration;illustration de mode
fast attack craft;navire d'attaque rapide
fault;fracture géologique
fauna;faune
feather;plume
fedora;feutre
feldspar;feldspath
fell;chute
fence;clôture
fencing weapon;arme d'escrime
ferris wheel;grande roue
ferry;ferry
fiction;fiction
fictional character;personnage fictif
field;champ
fighter aircraft;avion de chasse
figure drawing;dessin académique
figurine;figurine
film;film
film noir;film noir
filter;filtre
finger;doigt
fir;sapin
firearm;arme à feu
firebrick;brique réfractaire
fireplace;cheminée
fish;poisson
fishing;pêche
fishing trawler;chalutier de pêche
fishing vessel;bateau de pêche
fixed link;pont-tunnel
fjord;fjord
flag;drapeau
flagship;vaisseau amiral
flap;rabat
fleet admiral;amiral de la flotte
flesh;chair
flight;vol
flightless bird;oiseau inapte au vol
floodplain;plaine inondable
floor;sol
floor plan;plan d'étage
flooring;sol
flora;flore
flower;fleur
flowering plant;plante à fleurs
fluvial landforms of streams;reliefs fluviaux de ruisseaux
fluyt;flûte (navire)
fly;vol
flying boat;hydravion
fog;brouillard
folk wrestling;lutte folklorique
font;police de caractère
food;aliments
foot;pied
footprint;empreinte
footwear;chaussure
forehead;front
forest;forêt
formal wear;vêtements de cérémonie
formation;formation
fortepiano;piano-forte
fortification;fortification
fossil;fossile
fountain;fontaine
four poster;lit à colonnes
fowl;volaille
freestyle bmx;BMX freestyle
freezing;gel
freight car;wagon à marchandises
freight transport;transport de marchandises
French;français
friendship;relation amicale
frigate;frégate
frost;gel
fruit;fruit
full rigged ship;navire entièrement gréé
fun;amusement
function hall;salle de réception
fur;fourrure
fur clothing;vêtements de fourrure
furniture;meubles
fusilier;fusilier
galaxy;galaxie
galeas;galère (navire)
galiot;galiot (navire)
galleon;galion
galley;galère
galliformes;galliformes (gallinacé)
garantie;garantie
gas mask;masque à gaz
gate;porte
gaucho;gaucho
gauge;jauge
gazelle;gazelle
gear;équipement
generalissimo;généralissime
gentleman;gentilhomme
geological phenomenon;phénomène géologique
geology;géologie
giraffe;girafe
giraffidae;giraffidé
girder bridge;pont à poutres
girl;fille
glacial landform;relief glaciaire
glass;verre
glass bottle;bouteille en verre
glasses;lunettes
glider;planeur
goats;chèvres
goggles;lunettes de protection
gold;or
goldenrod;gerbe d'or (Solidago)
gondola;gondole
goth subculture;sous-culture gothique
gothic architecture;architecture gothique
government;gouvernement
gown;robe
graduation;obtention du diplôme
granite;granit
graphic design;conception graphique
graphics;graphique
grass;herbe
grass family;graminées
grassland;prairie
grave;tombe
gray;gris
grazing;pâturage
green;vert
greencopper;vert cuivre
greenhouse;serre
greenyellow;vert jaune
greeting card;carte de voeux
grenadier;grenadier
grey;gris
grizzly bear;grizzly (ours)
groom;jeune marié
grove;bosquet
guided missile destroyer;destroyer lanceur de missiles
gun;pistolet
gun accessory;accessoire de pistolet
gun barrel;canon
gun turret;tourelle
gunboat;canonnière
hacienda;hacienda
hair;cheveux
hair accessory;accessoires pour cheveux
hair coloring;coloration de cheveux
hairstyle;coiffure
hall;salle
hand;main
hand model;modèle de main
handgun;pistolet
handrail;balustrade
handwriting;écriture
hangar;hangar
harbor;port
hardware;matériel
hardware accessory;équipement matériel
hardwood;bois dur
hare;lièvre
harvest;récolte
harvester;moissonneuse
hat;chapeau
haute couture;haute couture
hay;foins
haze;brume
head;tête
headgear;couvre-chef
headpiece;casque
headstone;pierre tombale
health & beauty;santé et beauté
heart;coeur
hearth;foyer
heat;chaleur
heavy cruiser;croiseur lourd
helicopter;hélicoptère
helicopter rotor;rotor d'hélicoptère
helmet;casque
herd;troupeau
herring;hareng
hetaira;hétaïre
highland;montagnes
highway;autoroute
hill;colline
hill station;station de montagne
Hindoes;Hindous
Hindous;Hindous
Hindus;Hindous
historic house;maison historique
historic site;site historique
history;histoire
hobby;loisir
home;maison
home accessories;accessoires de maison
home fencing;clôtures domestiques
horizon;horizon
horn;klaxon
horse;cheval
horse and buggy;calèche
horse harness;attelage de chevaux
horse like mammal;cheval
horse supplies;fournitures pour chevaux
horse tack;harnachement (équitation)
horse trainer;dresseur de chevaux
horseshoe;fer à cheval
hospital;hôpital
hot air balloon;montgolfière
hot air ballooning;ballon ascensionnel
hotel;hôtel
house;maison
hull;coque
human;humain
human behavior;comportement humain
human body;corps humain
human leg;jambe humaine
hunt seat;hunt seat (équitation)
hurdle;obstacle
hut;cabane
hybrid bicycle;vélo hybride
hydroplane racing;course d'hydroplane
ice;glace
ice rink;patinoire
ice skate;patin à glace
ice skating;patinage sur glace
identity document;document d'identité
igneous rock;roche ignée
illustration;illustration
imam;imam
impact crater;cratère d'impact
impressionist;impressionniste
indian elephant;éléphant indien
indianred;indianred
indoor games and sports;jeux et sports d'intérieur
industry;industrie
infant;bébé
infantry;infanterie
infrastructure;infrastructure
inlet;entrée
insect;insecte
institution;institution
interaction;interaction
interior design;design d'intérieur
intrusion;intrusion
invertebrate;invertébré
iris;iris
iron;fer
ironclad warship;navire de guerre cuirassé
italian greyhound;lévrier italien (chien)
jacket;veste
jaw;mâchoire
jazz pianist;pianiste de jazz
jet aircraft;avion à réaction
jewellery;bijoux
jewelry making;bijoutier
job;emploi
jockey;jockey
joint;articulation
jumping;saut
jungle;jungle
karate;karaté
kettle;bouilloire
keyboard;clavier
keyboard player;claviériste (musicien)
khanqah;khanqah
kick scooter;trottinette
kitchen appliance;appareil de cuisine
kitchen stove;cuisinière
kitten;chaton
knee;genou
knife;couteau
knight;chevalier
knight errant;chevalier errant
label;étiquette
laborer;ouvrier
lace;dentelle
ladder;échelle
lady;dame
lagotto romagnolo;chien d'eau romagnol
lake;lac
lake district;Lake District
land lot;terrain
land vehicle;véhicule terrestre
landing ship tank;navire de débarquement
landmark;point de repère
landscape;paysage
lane;voie
lathe;tour
leaf;feuille
leg;jambe
leisure;loisir
lens;lentille
letter;lettre
letters;lettres
lettres;lettres
library;bibliothèque
lieutenant;lieutenant
light;lumière
light aircraft;avion léger
light cruiser;croiseur léger
light fixture;luminaire
lightblue;bleu clair
lightgray;gris clair
lightgrey;gris clair
lighthouse;phare
lighting;éclairage
lighting accessory;accessoire d'éclairage
lightsteelblue;bleu clair
lightwood;bois clair
limegreen;vert citron
line;ligne
line art;dessin au trait
lingerie;lingerie
lion;lion
lip;lèvre
liqueur;liqueur
liquid;liquide
livestock;bétail
living room;salon
lobby;hall
loch;loch
lock;serrure
locket;médaillon
locomotive;locomotive
log cabin;cabane en rondins
logging;enregistrement
logo;logo
long hair;cheveux longs
longship;drakkar
loyd carrier;loyd carrier (véhicule)
lugger;lougre (navire)
lumber;bois de charpente
luxury car;voiture de luxe
luxury vehicle;véhicule de luxe
machine;machine
machine gun;mitraillette
machine tool;machine-outils
macro photography;macrophotographie
magazine;magazine
male;mâle
mammal;mammifère
man;homme
mandarianorange;orange mandarine
mane;crinière
manhole;regard (grille)
manila galleon;galion de Manille
mannequin;mannequin
manor house;manoir
mansion;manoir
map;carte
marble;marbre
marching;défilé parade
mare;jument
marina;marina
marine invertebrates;invertébrés marins
marine mammal;mammifère marin
marines;marines (soldat)
market;marché
marksman;buteur
maroon;bordeaux (couleur)
marriage;mariage
marsh;marais
marsupial;marsupial
mass production;production de masse
mast;mât
mat;tapis
matador;matador
material;matériel
mausoleum;mausolée
measuring instrument;instrument de mesure
mecca;Mecque
mechanical engineer;ingénieur mécanique
medal;médaille
media;médias
medical;médical
medical equipment;équipement médical
medical imaging;imagerie médicale
medical radiography;radiographie médicale
medieval architecture;architecture médiévale
mediumgoldenrod;jaune d'or
mediumturquoise;turquoise moyen
mediumwood;bois moyen
megaphone;porte-voix
mellophone;mellophone (instrument de musique)
membrane winged insect;insecte ailé à membrane
memorial;mémorial
mercenary;mercenaire
mesh;maille
metal;métal
metal lathe;tour à métaux
metalworking;travail des métaux
meteorological phenomenon;phénomène météorologique
metropolis;métropole
metropolitan area;zone métropolitaine
microphone;microphone
mid size car;voiture de taille moyenne
middle ages;moyen Âge
midnight;minuit
midnightblue;bleu nuit
military;militaire
military aircraft;avion militaire
military camouflage;camouflage militaire
military engineer;ingénieur Militaire
military officer;officier militaire
military organization;organisation militaire
military person;militaire
military police;police militaire
military rank;rang militaire
military transport aircraft;avion de transport militaire
military uniform;uniforme militaire
military vehicle;véhicule militaire
militia;milice
mill;moulin
milling;fraisage
miner;mineur
mineral;minéral
minesweeper;dragueur de mines
mini cooper;mini Cooper
miniature;miniature
mirror;miroir
missile;missile
mission;mission
mist;brouillard
mixed use;usage mixte
mode of transport;mode de transport
model;modèle vivant
model aircraft;aéromodélisme
modern art;art moderne
monarch;monarque
money;argent
monitor;moniteur
monochrome;monochrome
monochrome photography;photographie monochrome
monolith;monolithe
monoplane;monoplan
monument;monument
moon;lune
morning;matin
mortar;mortier
mortarboard;mortier
mortuary temple;temple funéraire
mosque;mosquée
moths and butterflies;papillons (lépidoptères)
motor gun boat;petit navire militaire à moteur
motor ship;bateau à moteur
motor vehicle;véhicule à moteur
motorboat;bateau à moteur
motorcycle;moto
motorcycling;motocyclisme
motorsport;sport automobile
mountain;montagne
mountain bike;vélo de montagne
mountain pass;col de montagne
mountain range;chaîne de montagnes
mountainous landforms;reliefs montagneux
moustache;moustache
mouth;bouche
mud;boue
mudflat;vasière
mule;mule
multimedia;multimédia
