Dog Racing;course de chiens
sugar;sucre
sweetening;édulcorant
giant salamander;salamandre géante
salamander;salamandre
wrestling;lutte
go-kart;kart
clown;clown
Escalator (Indoor);escalier mécanique
tympanist (musician);timbalier (musicien)
Charolais cattle;Charolais (bovin)
diesel-hydraulic locomotive;locomotive diesel
large person;personne corpulente
dustpan;pelle à poussière
spinning frame;machine à filer
chasm;gouffre
L-plate (learners plate for car)
bugle;bugle (instrument)
biretta;barrette
highway;autoroute
Boston bull dog;terrier de Boston (chien)
polo mallet;maillet de polo
mace bearer;massier
law officer;officier de justice
aunt;fourmi
Saint Bernard dog;Saint Bernard (chien)
mechanical system;système mécanique
professor;professeur
camera lens;objectif photographique
baseball cap;casquette de baseball
pencil sharpener;taille crayon
speedboat;vedette (bateau)
motorboat;bateau à moteur
demonstration;manifestation
sharpener;taille crayon
anklet;bracelet de cheville
bracteole;bractéole
heaume (helmet);heaume (casque)
gauze;gaze
tulle  (net like for dress);tulle
suit;costume
vice chancellor;vice-chancelier
standup comedian;comédien
barndoor;porte de grange
athletic supporter;suspensoir
calash top;capote de calèche
trench knife;couteau de tranchée
slat;lamelle
confectionery;confiserie
root vegetable;légume-racine
roller coaster (hypercoaster);montagnes russes
jolly boat;jolly boat (bateau)
billiard player;joueur de billard
pool player;joueur de billard américain
line officer;officier
mechanical piano;piano mécanique
fauld armor;fauld (armure)
toyshop;magasin de jouets
squawk box;intercom
tamping bar;bourreuse (outil)
thrush;passereau
tick;tique
tumbler;pigeon (tumbler)
whip-scorpion;uropyges (arachnide)
shoulder holster;étui d'épaule (holster)
pusher;dealer
sandal;sandale
bib;bavoir
plastron (turtles shell);plastron (tortue)
European tortoise;tortue européenne
turtle;tortue
tortoise;tortue terrestre
sling;écharpe de portage
standard poodle;grand caniche
coverlet (breadspread);couvre-lit
commodity;commodité
saddlery;sellerie
boa constrictor;boa constricteur
teashop;café restaurant
backhoe;pelle mécanique
decoupage art;découpage (art)
Manchester terrier dog;Manchester terrier (chien)
hand towel;essuie-main
Full Body;musculation
pedestal table;guéridon
coffee table;table basse
percale (fabric);percale (tissu)
ocardina;ocarina
boards;planches
tundra swan;cygne siffleur
snowboard;snowboard surf des neiges
people in headgear;appareil dentaire
embroidery frame;cadre à broder
gingham  fabric;vichy (tissu)
gingham fabric;vichy (tissu)
apron;tablier
woman's clothing;vêtements femme
wraparound;robe
person in kimono;kimono
straight chair;chaise droite
lath (wood for house);latte (charpente)
bongo drum;bongo (tambour)
rocker;chaise à bascule
adjutant bird;marabout argala (oiseau)
stork;cigogne
Windsor knot;noeud de cravate Windsor
stock saddle;selle
folk poet;poésie populaire
school bus;car scolaire
ledger board;lambourde
sundress;robe d'été
body stocking;body (vêtement)
tunic;tunique
sable coat;manteau de zibeline
kilt;kilt
chalice;calice
love seat;canapé à deux places tête-à-tête
recliner;fauteuil à bascule
backrest;dossier (meuble)
tweed;tweed (tissu)
Squash Court;terrain de squash
English saddle;selle anglaise
sponge;éponge
jellyfish;méduse
coelenterate;coelentéré
broadcaster;broadcaster
oilskin;toile huilée
terry cloth;tissu éponge
craftsman;artisan
kisser;baiser
Browning automatic rifle;Browning (fusil mitrailleur)
caftan (women's dress);caftan
velveteen;velveteen (tissu)
peplum (of garment);robe péplum
garter;jarretière
bolo tie;bolo (cravate)
kachina dolls;poupée kachina
hosiery;bonneterie
stocking;bas
antimacassar (for chair);têtière
highchair;chaise haute
Weimaraner dog;braque de Weimar (chien)
trench coat;trench coat
wattle and daub;torchis
man's clothing;vêtements homme
king cobra;cobra royal
oxygen mask;masque à oxygène
bedpost;pieds de lit
broadcloth (fabric);popeline (tissu)
hairgrip;épingle à cheveux
pendulum clock;pendule (horloge)
baggage;bagages
hyperbaric chamber (medical);caisson hyperbare
cotton flannel;flanelle (tissu)
box spring;matelas à ressorts
abacus;abaque
abandoned ship;navire abandonné
abattoir;abattoir
abbey (monastry like);abbaye (monastère)
Aberdeen Angus cattle;Aberdeen Angus (bovin)
abutment (support of arch or bridge);culée (support d'arche ou de pont)
abutment arch;arcade de culée
acacia;acacia
academic costume;costume académique
academic gown;robe académique
acarus mite;acarien
accelerator pedal;pédale d'accélérateur
accessory;accessoire
accommodation;hébergement
accompanist;accompagnateur (musique)
acoustic device;dispositif acoustique
acoustic gramophone;gramophone
acrobatics;acrobaties
acropolis;acropole
actor;acteur
acute triangle;triangle aigu
adenovirus (virus);adénovirus (virus)
adit (tunnel);tunnel
adjustable wrench;clé à molette
adobe brick;adobe (brique)
adult;adulte
adult person;personne adulte
advertiser;annonceur
aeolian harp;harpe éolienne
aerial torpedo;torpille aérienne
aerialist;aérien
aerofoil (aeroplane);aérofoil (avion)
Afghan hound dog;lévrier afghan
African chameleon;caméléon africain
African elephant;éléphant d'Afrique
African hunting dog;lycaon
African monitor;varan du Nil
afro hair style;coiffure afro
aglet (shoelace);aglet (lacet)
agriculturist;agriculteur
air bubble;bulle d'air
air conditioner;climatisation
air pump;pompe à air
air search radar;radar de recherche aérienne
air terminal;terminal
airbrush;aérographe
aircraft;avion
aircraft carrier;porte-avions
aircraft engine;moteur d'avion
airfield;aérodrome
airframe;cellule
airliner;avion de ligne
airplane;avion
airplane propeller;hélice d'avion
airport;aéroport
airship;dirigeable
airwoman;aviatrice
aisle;rayon
alcazar (fortress);alcazar (forteresse)
alcoholic beverage;boisson alcoolisée
alderfly;sialis
alehouse (tavern);taverne
alidade (surveying instrument);alidade (instrument d'arpentage)
Allen wrench;clé Allen
Alley;ruelle
almond;amande
almond tree;amandier
alp;alp
Alpine list;sommets des Alpes
Alpine woodsia;pin alpin
alpinist;alpiniste
altar (shrine);autel (sanctuaire)
altarpiece;retable
alternator;alternateur
ambulance;ambulance
ameba;amibe
American crow;corneille d'Amérique
American football;football américain
American football player;joueur de football américain
American saddle horse;cheval de selle américain
ammeter (instrument);ampèremètre (instrument)
ammunition;munition
amorphous shape;forme amorphe
amphibian;amphibie
amphibious aircraft;avion amphibie
amphibious vehicle;véhicule amphibie
amphitheater;amphithéâtre
amphora (jar);amphore
amplifier;amplificateur
amputee;amputé
amusement arcade;salle de jeux
amusement park;parc d'attractions
anaconda;anaconda
analog clock;horloge analogique
analog computer;ordinateur analogique
anastigmat (lens);anastigmat (lentille)
anchor;ancre
anchor light;feu de mat
ancient person;peuple ancien
andiron (used in fireplace);andiron (cheminée)
android;androïde
anechoic chamber;chambre anéchoïque
aneroid barometer;baromètre anéroïde
angel shark;requin ange
angelica;angélique
angiocardiogram (x-rays);angiocardiogramme (rayons x)
angle of refraction;angle de réfraction
angler;pêcheur
angling (fishing);pêche à la ligne
Angora goat;chèvre Angora
angular distance;distance angulaire
animal;animal
animal competition show;concours animalier
animal trainer;dompteur d'animaux
annelid worm;ver annélide
answering machine;répondeur automatique
ant;fourmi
antelope;antilope
antenna;antenne
anteroom;antichambre
anthill;fourmilière
anti-G suit;costume anti-G
antiaircraft gun;canon antiaérien
anvil;enclume
ao dai (women dress);ao dai (robe de femme)
apadana (ancient persian palace);apadana (ancien palais persan)
apartment;appartement
apartment building;immeuble
apparatus;appareil
apple maggot;mouche de la pomme
appliance;appareil
apse (church);abside (église)
aqua vitae;eau de vie
aqualung (for divers);masque (plongée)
aquaplane;aquaplane
aquarium;aquarium
aquatic bird;oiseau aquatique
aquatic mammal;mammifère aquatique
aquatic vertebrate;vertébré aquatique
Aqueduct;aqueduc
arabesque (ornament);arabesque (ornement)
araucaria (conifer) tree;araucaria (conifère)
arcade;arcade (bâtiment)
arch;arche
Archaelogical Excavation;fouille archéologique
Archaeological Excavation;fouille archéologique
archer;archer
archery;tir à l'arc
architecture;architecture
architrave  (of building);architrave (bâtiment)
Archive;archive
arctiid moth;papillon nocturne
arete (mountain ridgeline);arête de montagne
arm;bras
armadillo;tatou
armament;armement
armature (coil in device);induit (bobine)
armchair;fauteuil
armguard;garde-bras
armoire (wardrobe);armoire
armor;armure
armor plate;plaque d'armure
armored car;voiture blindée
armored catfish;loricariidés
armored personnel carrier;transport de troupes blindé
armored vehicle;véhicule blindé
Army Base;base militaire
army engineer;ingénieur de l'armée
army major;major militaire
army officer;officier de l'armée
army tank;char (blindé)
arrester hook;crochet d'arrêt
art gallery;galerie d'art
Art Museum;musée d'art
art school;école d'art
Art Studio;studio d'art
arthrogram (x-ray);arthrogramme (rayons x)
artifact;artefact
artificial pacemaker;stimulateur artificiel
artillery;artillerie
artillery shell;obus d'artillerie
artilleryman;artilleur
artist's loft;loft d'artiste
artwork;oeuvre d'art
ascent;ascension
ascospore;ascospore
ash-pan;cendrier
ashtray;cendrier
Asian longhorned beetle;longicorne asiatique
Asian tiger mosquito;moustique tigre asiatique
aspen;tremble
assembly hall;salle de réunion
assembly of parts;assemblage de pièces
astrocyte;astrocyte
astrodome;astrodome
astrolabe (sextant like);astrolabe (sextant)
astronaut;astronaute
astronomical telescope;télescope astronomique
athlete;athlète
athletic game;jeu d'athlétisme
Atlantic goliath grouper;mérou goliath de l'Atlantique
atlas;atlas
atom bomb;bombe atomique
atomic clock;horloge atomique
atomic reactor;réacteur atomique
atrium of building;atrium de bâtiment
attack submarine;sous-marin d'attaque
attic;grenier
audio CD;CD audio
audiocassette;cassette audio
audiotape;cassette audio
auditorium;salle
autobahn (highway);autoroute
autoclave;autoclave
autoloader firearm;arme à feu automatique
automat (food vending machines);automate (distributeur automatique d'aliments)
automated teller machine;guichet automatique
automatic firearm;arme à feu automatique
automatic pistol;pistolet automatique
automatic rifle;fusil automatique
automatic washer;laveuse automatique
automation;automatisation
automobile factory;usine automobile
autoradiograph;autoradiographie
autostrada (highway);autoroute
aviator;aviateur
ax;hache
ax head;tête de hache
axle;essieu
Ayrshire cattle;bovin Ayrshire
baboon;babouin
baby bed;lit de bébé
baby grand piano;piano demi-queue
baby's breath;gypsophile (plante)
Bacillus anthracis (bacteria);bacillus anthracis (bactérie)
back porch;veranda
backbench;parlementaire
backboard;panier de basquet
backgammon board;backgammon
backlighting;rétro-éclairage
backpacker;randonneur
backpacking tent;tente de randonnée
backstairs;escalier de service
backstay;pataras
backstop;écran
backsword;épée
Badlands;Badlands (parc)
badminton;badminton
badminton equipment;équipement de badminton
badminton racket;raquette de badminton
bag;sac
baggage car;fourgon à bagages
bagpipe;cornemuse
Bailey bridge;pont Bailey
bait;appât
baker;boulanger
bakery;boulangerie
balaclava helmet;cagoule
balalaika;balalaika
balance;balance
balance beam;poutre (agrès)
balancing;équilibrage
balcony (of building);balcon (immeuble)
bale;balle
baleen whale;baleine à fanons
ball;ballon
ball game;jeu de balle
ball gown;robe de bal
ball striker;ball striker
ballet dancer;danseuse de ballet
ballet mistress;maîtresse de ballet
ballistic pendulum;pendule balistique
balloon;ballon
balloon bomb;bombe ballon
balloon sail;voile ballon
balloonist;aérostier
ballot box;urne électorale
ballpark;terrain de baseball
ballroom;salle de bal
balsa raft;radeau de balsa
baluster (railing);balustre
bamboo;bambou
Band Aid;pansement
bandage;bandage
bandbox;carton à chapeau
banderilla  (bullfight);banderille (corrida)
banderillero (bull fighter);banderillero (corrida)
bandoleer;bandoulière
bandoneon (musical instrument);bandonéon
bandsaw;scie à ruban
bandsman;musicien
bandwagon;train en marche
bangalore torpedo;torpille bangalore
banjo;banjo
banner;bannière
Banners;bannières
bannister (handrail);rampe (main courante)
banquet;banquet
bantam fowl;pintade
baobab;baobab
baptismal font;fonts baptismaux
bar;bar
barbecue;barbecue
barbed wire;fil barbelé
barbell;haltère
barber chair;chaise de barbier
Barber Shop;salon de coiffure
barbershop;salon de coiffure
barbette carriage;barbette
barge;barge
barn;grange
barn spider;araignée de grange
Barndoor;porte coulissante
barograph device;barographe
barometer;baromètre
barque sailing ship;barque voilier
barracuda;barracuda
barrage balloon;ballon de barrage
barrel;baril
barrel vault;voûte en berceau
barren ground caribou;caribou
barrier;barrière
bartender;barman
bascule (of bridge);bascule (de pont)
baseball;base-ball
baseball (base runner);baseball (coureur de base)
baseball bat;batte de baseball
baseball equipment;équipement de baseball
baseball glove;gant de baseball
baseball pitcher;lanceur de baseball
baseball player;joueur de baseball
basement;sous-sol
basenji dog;chien basenji
basilic (church/roman building)a;basilique (église)
basin;bassin
basket weave;vannerie
basketball;basketball
basketball court;terrain de basketball
basketball dunker;smash de basket
basketball hoop;panier de basket
basketball player;joueur de basket
basketweaver;vannerie
bass (musical instrument);basse (instrument de musique)
bass drum;grosse caisse
bass fiddle;violon basse
bass horn;corne de basse
bassinet;berceau
bassoon (reed instrument);basson (instrument à anche)
bastard wing;alule (plume)
bastion (citadel);bastion (citadelle)
bastion (fort);bastion (fort)
bat;chauve-souris
bat boy (baseball);joueur (baseball)
bath;baignoire
bath chair;chaise de bain
bathe;bain
bathing cap;bonnet de bain
bathroom;salle de bains
bathtub;baignoire
bathyscaphe (deep diving vessel);bathyscaphe (navire de plongée profonde)
bathysphere (deep diving vessel);bathysphère (navire de plongée profonde)
batik (fabric);batik (tissu)
baton;bâton
batter's box;boîte du frappeur
batting cage;cage de frappeur
battle cruiser;croiseur de bataille
battle dress;tenue de combat
battle-ax;hache de guerre
battlement;créneau
battleship;bataille navale
bay window;fenêtre en saillie
bayonet;baïonnette
Bayou;bayou
bazaar;bazar
bazooka;bazooka
beach;plage
beach house;maison de plage
beachwear;tenue de plage
beacon (lighthouse);phare
beaded lizard;lézard perlé
beagling (dog);chien
beaker;gobelet
beard;barbe
bearing;palier (roulement)
bearskin (tall hat);bonnet à poil
beast of burden;bête de somme
beauty salon;salon de beauté
beaver (hat);castor (chapeau)
bed;lit
bedroom;chambre
bedroom furniture;mobilier de chambre
bedsitting room;chambre à coucher
bedstead;châlit
beef;boeuf
beefcake;pain de boeuf
beekeeper;apiculteur
beer;bière
beer garden;brasserie
beer hall;brasserie
beer mat;sous-bock
beer mug;chope à biere
beetle;scarabée
belfry (tower);beffroi (tour)
belfry tower;tour de clocher
bell;cloche
bell arch;clocher
bell cote of building;abri à cloche (construction)
bell founder;fondeur de cloche
bell foundry;fonderie de cloche
bell gable (of building);clocher (bâtiment)
bell jar;cloche
bell tent;tente cloche
bell tower;clocher
belt;ceinture
ben (mountain);ben (montagne)
bench;banc
bench lathe;tour à banc
bench press;banc de musculation
bench vise;étau d'établi
Bengal tiger;tigre du Bengale
berlin (limousine);berline (limousine)
Bessemer converter;convertisseur Bessemer
bevel gear (pinion and ring gear);engrenage conique (pignon et couronne)
beverage;boisson
bicorn hat;chapeau bicorne
bicycle;vélo
bicycle rack;porte-vélos
bicycle wheel;roue de bicyclette
bicycle-built-for-two;tandem
bicycling;cyclisme
big cat;félin
big game;gros gibier (animal)
big game (animal);gros gibier (animal)
big sister;grande soeur
bikini;bikini
billboard;panneau d'affichage
billhook;serpette
billiard room;salle de billard
binder;classeur
bindery (workshop);reliure (atelier)
binoculars;jumelles
biographer;biographe
biohazard suit;combinaison NBC
Biology Laboratory;laboratoire de biologie
bioscope (microchip);bioscope (micropuce)
biplane;biplan
birchbark canoe;canoë en écorce de bouleau
bird;oiseau
bird dog dog;chien d'arrêt
bird feeder;mangeoire pour oiseaux
bird of prey;oiseau de proie
bird sanctuary;refuge pour oiseaux
birdbath;bain d'oiseau
birdcage;volière
Birthday Party;fête d'anniversaire
bit;bit
bitewing (dental x ray);radiographie dentaire
black;noir
black beech;hêtre noir
black belt;ceinture noire
black mallee (gum) tree;mallee noir (arbre)
black rat;rat noir
black rhinoceros;rhinocéros noir
black squirrel;écureuil noir
black tea;thé noir
black tie;cravate noire
black vulture;vautour noir
black widow;veuve noire
blackboard;tableau noir
blackfly;mouche noire
blacksmith;forgeron
blacktop;bitume
blade;lame
blanket;couverture
blast furnace;haut fourneau
blastocyst (organism);blastocyste (organisme)
blindfold;bandeau
bling;bling
blister rust;rouille vésiculeuse
block (building);bloc (bâtiment)
block and tackle;poulie
blockade;blocus
blower;ventilateur
blowfly;mouche à viande
blue marlin;marlin bleu
bluff (steep sliff/bank);falaise
boarding house;pension de famille
boardroom;salle de réunion
Boardwalk;promenade
boat;bateau
Boat Deck;pont de bateau
boat racing;course de bateaux
boatbuilder;constructeur de bateaux
boathouse;hangar à bateaux
boatman;passeur (bateau)
boatswain's chair;chaise de calfat
boatyard;chantier naval
bobcat;lynx
bobsled;bobsleigh
bobsledding;bobsleigh
bobsleigh;bobsleigh
bock beer;bock (bière)
body (of vehicle);chassis (véhicule)
body armor;gilet pare-balles
body lotion;lotion pour le corps
bodyguard;garde du corps
bodywork;carrosserie
Bofors gun;canon Bofors
boiling water reactor;réacteur à eau lourde
bollard (post);borne
bolt;boulon
bomb;bombe
bomb calorimeter;bombe calorimètre
bomb shelter;abri anti-bombes
bomber (aircraft);bombardier (avion)
bomber jacket;blouson
boneshaker (wheeled vehicle);vélocipède
bonnet;bonnet
book;livre
book binding;reliure de livre
book jacket;couverture de livre
book scorpion;pseudoscorpion
bookbindery;reliure
bookcase;bibliothèque
bookend;serre-livre
bookmaker;bookmaker
bookmark;signet
bookmobile;bibliobus
bookshelf;étagère à livres
bookshop;librairie
boomerang;boomerang
booster amplifier;amplificateur de surpression
boot;boots
booth;cabine
Booth (Indoor);cabine
bootjack;tire-botte
bootlace;lacet
Bordeaux;bordeaux (vin)
borstal (people);maison de correction
Botanical Garden;jardin botanique
bottle;bouteille
bottle cork;bouchon de liège
bottle screw;tendeur
bottlebrush;goupillon
bottling plant;usine d'embouteillage
bouffant hairstyle;coiffure bouffante
boulle (furniture);boulle (meubles)
bourbon;Bourbon
boutique;boutique
Bouvier des Flandres dog;bouvier des Flandres
bovine;bovin
bow;arc
bow and arrow;arc et flèches
bow tie;noeud papillon
bowed stringed instrument;instrument à cordes frotté
bowl;bol
bowler hat;chapeau melon
bowline;nœud de chaise
bowling alley;allée de bowling
bowsprit;beaupré
box;boîte
box coat;manteau
box office;théâtre
box wrench;clé à douille
boxcar;wagon à marchandise
boxer dog;boxer (chien)
boxing;boxe
boxing (lightweight);boxe (poids léger)
boxing middleweight;boxe poids moyen
boy;garçon
boy at farm;garçon de ferme
Boy Scout;scout
brace;entretoise
bracelet;bracelet
brake band;bande de frein
brake lining;garniture de frein
brake pad;plaquette de frein
brake shoe;mâchoire de frein
brandy;Cognac
brass instrument;instrument à vent
brassard (armour);brassard
brasserie;brasserie
brassiere;soutien-gorge
breakfast table;table de petit déjeuner
breastplate;pectoral
Bren gun;Bren (fusil mitrailleur)
breviary (book);bréviaire (livre)
brew;brasser
brick;brique
brick trowel;truelle de maçon
bricks and mortar;briques et mortier
brickwork;maçonnerie
bride;mariée
bridegroom;jeune marié
bridesmaid;demoiselle d'honneur
bridge;pont
bridle;bride
briefs (Jockey shorts);culottes (jockey)
brig (ship);brick (navire)
brigandine (armor);brigandine
brine shrimp;crevettes (artémies)
bristle brush;brosse à poils
bristlecone pine;pin de bristlecone
broadcasting;diffusion (média)
broadloom (carpet);moquette
broadsword;glaive
broadtail sheep;mouton à queue large
brocade (fabric);brocart (tissu)
broiler oven;four grill
bronco;bronco (cheval)
brougham (horse carriage);brougham (calèche)
brownie mix;mélange à brownie
Browning machine gun;Browning (mitrailleuse)
brush;brosse
Brussels carpet;tapis de Bruxelles
Brussels lace;dentelle de Bruxelles
bubble;bulle
bubble pack;papier à bulles
bucket;seau
bucket seat;siège baquet
bucking bronco;bronco (cheval)
buckle;boucle de ceinture
buggy;buggy
building;bâtiment
building complex;complexe (bâtiment)
bulb;ampoule
bull;taureau
bulldog clip;pince à dessin
bulldozer;bulldozer
bullet;balle (munution)
bullet train;train à grande vitesse
bulletproof vest;gilet pare-balles
bullfighter;torero
bullfighting;corrida
bullhead catfish;poisson-chat
bullhorn;porte-voix
bullion;lingot
bullnosed plane;rabot
bullock;boeuf
bullring;arène
bulwark;rempart
bumboat;bateau
bumper (of vehicle);pare-chocs (de véhicule)
bumper car;auto-tamponneuse
bumper guard;protège pare-chocs
bungalow;bungalow
bunk bed;lit superposé
bunker;bunker
bunsen burner;bec Bunsen
Burberry (raincoat);Burberry (imperméable)
burette (measuring instrument);burette (instrument de mesure)
Burgundy;bourgogne (vin)
burial chamber;chambre funéraire
burin (chisel);burin
burlap (gunny);toile de jute
burlap bag;sac de jute
burner;brûleur
burqa;burqa
burro (donkey);burro (âne)
burrow;terrier
bus;autobus
Bus Interior;intérieur de bus
bus stop;arrêt de bus
bushel basket;panier boisseau
business district;quartier des affaires
business suit;costume (complet)
bustle (women's dress);faux-cul (robe)
bustle (womens dress);faux-cul (robe)
butcher knife;couteau de boucher
butcher shop;boucherie
butt hinge;charnière
butte (hill);butte (colline)
butter churn;baratte à beurre
butter dish;beurrier
butter knife;couteau à beurre
butterfly;papillon
butterfly valve;vanne papillon
button;bouton
buttress (building);contrefort (bâtiment)
buzzer;avertisseur sonore
C-clamp;serre-joint
cabana (roofed tent);cabane (tente)
caber (wooden pole);poteau en bois
cabin (aircraft);cabine (avion)
cabin (house);cabane (maison)
cabinet;buffet
cable car;téléphérique
cactus wren;troglodyte des cactus
cadaver;cadavre
cadet;cadet (militaire)
caesium clock;horloge au césium
cafe;café
cafeteria;cafétéria
cafeteria tray;plateau de cafétéria
caff (caffe);café
cage;cage
cairn (mound of stones);cairn (monticule de pierres)
calculator;calculatrice
caldron;chaudron
California black oak;chêne noir de Californie
California wine;vin de Californie
caliper instrument;pied à coulisse
call-board;tableau d'appel
calligrapher;calligraphe
calosoma;calosoma
camail (armor);camail (armure)
camel;chameau
Arabian camel;dromadaire
camel racing;course de chameaux
Camembert;camembert
camera;caméra
camera tripod;trépied de caméra
camouflage;camouflage
camp chair;chaise de camp
campaign hat;chapeau de campagne
camper;campeur
camper trailer;roulotte
camping bus;bus de camping
campsite;camping
camshaft;arbre à cames
can;boîte
can opener;ouvre-boîte
Canada porcupine;porc-épic du Canada
canal;canal
candelabra;candélabre
candelabrum (candlestick);candélabre (chandelier)
Candida albicans;Candida albicans (levure)
candlesnuffer;mouchoir (à bougie)
candlestick;chandelier
candy;bonbons
cane;canne
cangue;cangue
canine;canin
Canned field ration (food);ration de combat
canned food;nourriture en conserve
cannery  factory;usine de conserverie
cannon;canon
cannonball;boulet de canon
canopic jar;vase canope
canopy;canopée
canteen;cantine
cantilever bridge;pont cantilever
canvas tent;tente de toile
canyon;canyon
cap;casquette
cap screw;vis d'assemblage
capacitor;condensateur
cape;cape
Cape buffalo;buffle du Cap
capital ship;bâtiment de guerre
capitol building;Capitole
capstan;cabestan
captain;capitaine
car;voiture
car bomb;voiture piégée
car door;porte de voiture
car mirror;rétroviseur
car transporter;transporteur de voiture
carabao cattle;bétail carabao
caravan inn;Caravan Inn
carboy (bottle);bonbonne (bouteille)
carburetor;carburateur
carcass;carcasse
card player;joueur de cartes
cardcase;porte-cartes
cardiograph (medical instrument);cardiographe (instrument médical)
cardioid microphone;microphone cardioïde
cargo ship;cargo
caribou (reindeer);caribou (renne)
caricaturist;caricaturiste
carnivore;carnivore
caroler (singer);caroler (chanteur)
carousel;carrousel
carpenter;charpentier
carpenter's kit;boîte à outils
carpenter's plane;rabot de charpentier
carpenter's square;équerre de charpentier
carpet beater;tapette à tapis
carpet loom;moquette
carpet pad;sous-tapis
carpet snake;serpent (python)
carriage;chariot
carriageway;chaussée
carrion;charogne
cart;chariot
carthorse;cheval de bataille
carton;carton
cartouche;cartouche
cartridge fuse;fusible à cartouche
cartridge holder;porte cartouche
carving knife;couteau à graver
caryatid (building);cariatide (bâtiment)
casement (window of building);fenêtre à battant
cash register;caisse enregistreuse
cashbox;caisse
casing of building;encadrement de porte
casino;casino
cassette;cassette
cassette recorder;magnétophone
cassette tape;cassette
cassia bark tree;cassia (arbre)
cassock;soutane
casting (fishing);coulée (pêche)
castle;château
cat;chat
cat-o'-nine-tails;chat à neuf queues
catacomb;catacombes
catalytic converter;convertisseur catalytique
catamaran;catamaran
catapult;catapulte
catboat;catboat
catcher's mask;masque de catcheur
catfish;poisson-chat
cathedra;cathèdre
cathedral;cathédrale
cathode-ray oscilloscope;oscilloscope cathodique
cattle;bétail
cattle guard;gardien de bétail
cattle ranch;ranch
cavalier hat;chapeau cavalier
cavalry horse;cheval de cavalerie
cavalry sword;épée de cavalerie
cavalryman;cavalier
cave;grotte
cavern;caverne
CD-ROM;CD-ROM
cedar chest;coffre en cèdre
celebrity;célébrité
cell;cellule
cellblock;bloc cellulaire
cellist (musician);violoncelliste
cemetery;cimetière
censer container;encensoir
center punch;poinçon
centrifugal pump;pompe centrifuge
ceramic;céramique
ceratosaur (dinosaur);ceratosaur (dinosaure)
cercaria worm;ver cercaire
cereal box;boîte de céréales
cerebral cortex;cortex cérébral
cetacean mammal;mammifère cétacé
Chablis;chablis
chacma baboon;babouin chacma
chador (cloth);tchador
chain mail;cotte de maille
chair;chaise
chairlift;télésiège
chaise longue;chaise longue
chalet;chalet
chancellery;chancellerie
chandelier;lustre
chanfron (horse armor);chanfron (armure de cheval)
channel catfish;poisson-chat
chapel;chapelle
chapterhouse;capitulaire
charcoal;charbon
charger horse;destrier
charnel house;ossuaire
chassis;châssis
chasuble dress;robe de chasuble
chat room;salon de discussion
chateau;château
chatelaine (chain);châtelaine (chaîne)
check-in;enregistrement
checkout counter;caisse
cheekpiece;plaque de crosse (fusil)
cheese;fromage
chemical plant;usine chimique
chemical reactor;réacteur chimique
Chemistry Lab;laboratoire de chimie
